#List
abase v.降低···的地位，贬抑，使卑下
ensconce v.安置，安坐
enshrine v.奉为神圣，珍藏
ensign n.舰旗(船上表示所属国家的旗帜)
ensnare v.诱入陷阱，进入罗网
ensue v.继而发生
enthrall v.迷惑，迷住
enthralling a.迷人的，吸引人的
entourage n.随从；环境
entrance v.使出神，使入迷；n.入口
entrancing a.使人入神的
entreat v.恳求
entreaty n.恳求，哀求
entrust v.委托；托付
entwine v.使缠绕，交织
enunciate v.（清楚地）发音；(清楚地)表达
environ v.包围，围绕
envisage v.正视；想象
epideictic a.夸耀的
epidermis n.表皮，外皮
epigram n.讽刺短句，警句
epilogue n.收场白；尾声
episode n.一段情节；插曲，片段
epithet n.(贬低人的)短语或形容词
epitomize v.概括，摘要，成为典型，成为缩影
equable a.稳定的，不变的；(脾气)温和的
equine a.马的，似马的
equivocate v.模棱两可地说，支吾其词，说谎
erect a.竖立的，笔直的，直立的
errand n.差使；差事
ersatz a.代用的，假的
erupt v.爆发；喷出(熔岩、水、气体、泥浆等)
escalation n.逐步上升，逐步增强
escort v.护送 n.护送者
espionage n.间谍活动
espy v.(从远处等)突然看到
etch v.蚀刻；铭记
eternal a.永久的，永恒的，不朽的
ethics n.伦理学；道德规范
etymology n.语源学
eugenic a.优生（学）的
eulogy n.颂词，颂文
euphoria n.幸福愉快感
evacuate v.撤退；撤离
evasion n.躲避；借口
even-tempered adj.性情平和的，不易生气的
everlasting adj.永恒的，永久的；无休止的
evict v.(依法)驱逐
exactitude n.极端的正确性或精确性
exalt v.(高度)赞扬，歌颂
#List
exaltation n.(成功带来的)得意，高兴
exceptionable a.引起反感的
exceptional a.特别(好)的
excerpt n.摘录，选录，节录
excitability n.易兴奋性，易激动性
exclaim v.惊叫，呼喊
exclamation n.惊叹词；惊呼
excogitate v.认真想出
excoriate v.剥皮，严厉批评
excrete v.排泄，分泌
excruciate v.施酷刑；折磨
exculpate v.开脱；申明无罪，证明无罪
excursive a.离题的
execrable a.可憎的，厌恶的
execrate v.憎恶；咒骂
exhaustive a.彻底的，无遗漏的
exhume v.掘出，发掘
exigent a.迫切的，紧急的
exiguous a.太少的，不足的
expatiate v.细说，详述
expatriate v.驱逐，流放；移居国外
expel v.排出；开除
expend v.花费；用光
expenditure n.消耗，支出
expiate v.赎罪，补偿
expire v.期满；去世
explicable adj.可解释的
expostulate v.(对人或行为进行)抗议；告诫
expound v.解释，详细阐述
expropriate v.充公，没收
expulsion n.驱逐，逐出
expunge v.(从书中)删除(字、词)
expurgate v.(从书中)删除(不当或令人反感的部分)
extemporize v.即兴席演说
extenuate v.掩饰（罪行）；（提出借口以）减轻罪过
externalize v.使…表面化:external外部的，使外部化=使表面化
extinguish v.使…熄灭；使…不复存在
extirpation n.根除，铲除（某实物或现象）
extort v.强索，敲诈(钱)
extradite v.引渡
extremist n.极端主义者
extricate v.摆脱，脱离；拯救，救出
extrovert n.性格外向者
extrude v.挤出，推出，逐出
exuberance n.(人)愉快；(植物)茁壮，茂盛
exude v.(液体)使慢慢流出；四溢
exult v.欢腾，喜悦
fabric n.纺织品；结构
fabulous a.难以置信的；寓言的
factitious a.人为的，不真实的
faculty n.全体教员；感官功能
fad n.(流行一时的)狂热，时尚
fake v.伪造，佯装；adj.假的
fallacy n.谬误，错误
fallibility n.易于出错，不可靠
falsehood n.谎言
familiarity n.精通；亲近；不拘礼仪
famine n.饥荒
famish v.使饥饿
fancied a.空想的，虚构的
fang n.(毒蛇的)尖牙
fasten v.使…固定(to fix sth. firmly)
fatal a.致命的；灾难性的
fathom n.英寻(量水深用，相当于1.83米)；v.彻底明白，了解
fatidic a.预言的
fatten v.使长肥；使土壤肥沃；装满
fatuity n.愚蠢，愚昧
faze v.打乱，扰乱
fealty n.效忠，忠诚
feasible a.可行的，可能的
feat n.功绩，壮举
febrile a.发烧的，热病的
feeble a.虚弱的
feint v./n.佯攻，佯击
feisty a.活跃的；易怒的
felicitate v.祝贺，庆祝
felicitous a.(话语等)适当的，得体的
feline a.猫的，猫科的
felon n.重罪犯
feral a.凶猛的，野的
fermentation n.发酵
ferocious a.凶猛的，残暴的
fiat n.命令
figurine n.小塑像，小雕像
file n.锉刀；v.锉平
filial a.子女的
filibuster v.妨碍议事，阻挠议案通过；n.阻挠议事的人或行动
filter n.滤纸；v.过滤
filth n.肮脏，污物；下流的语言
finable a.应罚款的
finagle v.骗取，骗得
finale n.最后，最终；乐曲的最后部分
finite a.有限的
firearm n.（便携式）枪支
fiscal a.国库的，财政的
fissile a.易分裂的
fissure n.深长的裂缝，裂隙
fitful a.间歇的，不规则的
flaccid a.松弛的；软弱的
flagellate v.鞭打，鞭笞
flair n.天赋，本领，天资
flak n.高射炮；抨击
flammable a.易燃的
flatten v.变平；彻底打败，击倒
flatulent a.自负的，浮夸的
flay v.剥皮；强夺，掠夺；严厉指责
fleece n.生羊毛，羊毛 v.骗取，欺诈
fleet a.快速的 v.消磨，疾驰；飞逝
flicker v.闪烁，摇曳
flighty a.轻浮的；反复无常的
flimflam n.欺骗；胡言乱语
flinch v.畏缩，退缩
flit v.掠过，迅速飞过
floppy a.松软的；软弱的
flossy a.华丽的，时髦的；柔软的
fluke n.侥幸；意想不到的事
flunk v.（考试）不及格
flush n./v.脸红；奔流；冲洗
flutter v.拍翅
fluvial a.河流的，生长在河中的
flux n.不断的变动；动荡不定
foist v.偷偷插入；（以欺骗的方式）强加
fold n.羊栏，畜栏；v.折叠
folksy a.亲切的，友好的
foment v.煽动，助长(坏事)
fondle v.抚弄，抚摸
foolproof a.容易懂的，简易而不会误用的
footle v.说胡话，做傻事；浪费（时间）
foppish a.浮华的，俗丽的
foray v.突袭，偷袭；劫掠 n.突袭
forbidding a.(表情)冷峻的；形势险恶的
foreclose v.排除；取消（抵押品）赎回权
forensic a.公开辩论的，争论的
foreword n.前言，序
forfeiture n.(名誉等)丧失
forge n.铁匠铺；v.锤炼，打铁；伪造；使形成，达成
forger n.打铁匠；伪造者
forgery n.伪造(物)
forgo v.放弃，抛弃
formative a.形成的；影响发展的
forswear v.誓绝，发誓放弃
forward adj.过激的；莽撞的，冒失的，无礼的
foyer n.门厅，休息室
fractional a.微小的，极少的，微不足道的
fracture n.骨折；折断；裂口
fragrance n.香料；香味
fraternal a.兄弟的，兄弟般的
frenzy n.狂乱，狂暴；暂时性疯狂
friable a.易碎的，脆的
#List
frigidity n.寒冷；冷淡
fringe n.(窗帘等)须边；边缘
frisk n.欢跃，蹦跳； v.欢跃，嬉戏
frolic n.嬉戏；雀跃 v.嬉戏
frothy a.起泡的；(文)空洞的
frowzy a.不整洁的，污秽的
fructify v.使结果实，使成功
fruition n.（希望、计划）实现，完成
frumpy a.邋遢的；老式的，过时的
full-blown a.(鲜花)盛开的，成熟的；全面的，完善的
full-bodied a.魁梧的；(味道等)浓郁而强烈的；重要的
fulminate v.猛烈抨击，严厉谴责
fumble v.摸索，笨拙搜寻；弄乱，搞糟
fume v./n.愤怒；冒烟
funk n.怯懦，恐惧；懦夫
funky a.有霉臭味的，有恶臭的
furbish v.磨光，刷新
furor n.轰动；盛怒
fury n.狂怒，狂暴；激烈；（希腊神话）复仇女神
fuss n.大惊小怪
fusty a.老式的，陈腐的；霉臭的
futility n.无用，无益
gab n.饶舌，爱说话v.空谈，瞎扯；闲逛，游荡
gabble v.急促而不清楚的说
gabby adj.饶舌的，多嘴的
gadget n.小工具，小机械
gaff n.大鱼钩，鱼叉；【海】斜桁
gaffe n.(社交上令人不快的)失言，失态
gaiety n.欢乐，快活
gambol n./v.雀跃，嬉戏
gander n.雄鹅；笨人，傻瓜v.闲逛
gangling a.瘦长得难看的
gangly adj.身体瘦长难看的
gangway n.(上下船的)跳板
gape v.裂开；目瞪口呆地凝视
garbled a.引起误解的；窜改的
gargantuan a.巨大的，庞大的
gargoyle n.(雕刻成怪兽状的)滴水嘴；面貌丑恶的人
garment n.衣服
garner v.把…储入谷仓；收藏，积累；获得
garnish v.装饰
garrulity n.唠叨，饶舌
gaseous a.似气体的
gauche adj.笨拙的，不会社交的
gaunt a.憔悴的，瘦削的
gavel n.(法官所用的)槌，小木槌
gawky a.迟钝的，笨拙的
genesis n.创始，起源
genteel a.有教养的，彬彬有礼的；冒充上流的，附庸风雅的
genuine a.真的；真诚的
germicide n.杀菌剂
gerontocracy n.老人统治的政府
gestate v.怀孕，孕育；构思
gesticulate v.做手势表达
giggle v.咯咯笑
gild v.镀金；虚饰(给人以好看但欺骗性的外观)
gimmick n.吸引人的花招，噱头
gingerly adj./adv.小心的(地)；谨慎的(地)
gist n.要点，要旨
gladiator n.(古罗马)角斗士，与野兽搏斗者
glamor v.迷惑n.魔法，魔力；魅力
glare v.发出眩目光芒；怒目而视
gleam n./v. 微光，闪光
glean v.拾落在地里的谷物；(来源广，零碎而费力地)收集(情报、信息、材料等)
glee n.欢喜，高兴
glib a.(演说)流利圆滑的，善辩的
glide v.滑行，滑动；悄悄的溜走；渐变
glimmer v.发微光；n.摇曳的微光
glisten v.(潮湿或光洁的物体表面反射)闪烁，闪耀
glister v.闪烁，闪耀 n.灿烂的光华；魅力
gloomy a.(使人恐惧或沮丧)阴暗的；没有希望的；阴郁的
glorify v.吹捧，美化
glow v./n.发光，发热；(脸)红
glower v.怒目而视
glowing a.热情赞扬的
gnaw v.一口口啃，咬；腐蚀，侵蚀
gnawing n.啃，咬 a.痛苦的，折磨人的
goad n.赶牛棒；v./n.刺激，激励
gobble v.快速贪婪地吃，狼吞虎咽
goblet n.高脚酒杯
goggle n.护目镜 v.瞪大眼睛看
goldbrick v.逃避责任，偷懒
goof v.犯错误；闲逛，消磨时间
gorge n.峡谷
gourmand n.(贬)嗜食者
gourmet n.美食家
gracile a.细弱的，纤细优美的
gracious a.大方的，和善的；奢华的；优美的，雅致的
grant v.同意给予
granule n.小粒，微粒
grasping a.贪心的，贪婪的
grate v.发出“吱嘎”声；磨碎；使人烦躁
gratification n.满足，喜悦
gratuity n.赏钱，小费
gravel n.碎石，砂砾
gravitate v.被强烈地吸引；受引力作用而运动
greenhorn n.初学者；容易受骗的人
gregariousness n.（动物）群居；合群，爱社交
grievance n.牢骚，抱怨，委屈
grievous a.痛苦的，悲伤的；极严重的
grill v.烤；拷问；n.烤架
grimace v./n.做鬼脸，面部歪扭
grin v.露齿而笑
gripe v.抱怨；惹恼，激怒；抓紧抓住
grisly a.恐怖的，可怕的
grit n.沙粒；决心，勇气；v.下定决心，咬紧牙关
groan v./n.呻吟，哀叹
groom n.马夫；新郎
groove n.凹线，沟，槽；(刻出的)线条；习惯
gross a.总的；举止粗鲁的，无教养的；n.整个，全部
grotesque a.(外形或方式)怪诞的，古怪；（艺术等）风格怪异的
grouch n.牢骚，不满；好抱怨的人
grove n.小树林，树丛
grovel v.摇尾乞怜，奴颜婢膝
growl v.（动物）咆哮，吼叫；（雷电）轰鸣
gruesome a.令人毛骨悚然的，阴森的
gruff a.粗鲁的，板着脸孔的；（声音）粗哑的
grumpy a.脾气暴躁的
guarantee v.保证，担保
guffaw n./v.哄笑，大笑
guileless a.厚道的，老实的
guise n.外观，装束
gulch n.深谷，峡谷
gulp v.吞食，咽下；抵制，忍住
gum n.树胶，橡皮；橡皮糖，口香糖
gumption n.进取心，魄力；精明强干
gusher n.喷油井；滔滔不绝的说话者
gustation n.品尝；味觉
gustatory a.有关味觉的，品尝的
gutless adj.没有勇气的，怯懦的
gutter n.水槽；街沟
guttle v.狼吞虎咽
guzzle v.大吃大喝，大量消耗
gyrate a.旋转的；v.旋转
habitable a.可居住的
haggard a.憔悴的，瘦削的
halcyon a.平静的；愉快的
hallowed a.神圣的
hallucination n.幻听，幻视
hammer n.锤子，槌
hangdog a.忧愁的；低贱的
hankering n.渴望，追求
haphazard a.无计划的、无秩序的、任意的
harangue n.[贬]长篇攻击性演说
harbinger n.先驱，先兆
hardbitten a.不屈的，顽强的
hardihood n.大胆，刚毅；厚颜
hardy a.耐寒的；强壮的；大胆的，勇敢的
harness n.马具；v.束以马具；控制并利用
harp n.竖琴；v.喋喋不休地说或写
harpsichord n.键琴(钢琴前身)
harrow n.耙；v.使痛苦
harrowing a.悲痛的，难受的
harry v.掠夺；袭扰，折磨
#List
harshly adv.严酷地，无情地
hash n.杂乱，混乱；杂烩菜
hasten v.加速，加快，促进
hasty a.急急忙忙的
hauteur n.傲慢
havoc n.大破坏，混乱
hawk n.隼，鹰
hazy a.朦胧的，不清楚的
headlong adj./adv.轻率的(地)，迅猛的(地)
headway n.进步，进展
heady a.任性的；鲁莽的
hearken v.倾听
hearsay n.谣传，道听途说
heartrending a.令人心碎的
heave v.用力举
heckle v.诘问，责问
hectic a.兴奋的，繁忙的，忙乱的
hector v.威吓
hedge n.树篱；保护手段；障碍
herbivorous a.食草的
heresy n.异端邪说
hermetic a.密封的；深奥的
hew v.砍伐；遵守
hidebound a.顽固的，守旧的，心胸狭窄的
hie v.疾走，催促
hieroglyphic n.象形文字
highbrow n.自以为文化修养很高的人
hike v.高涨，上升；n.徒步旅行
hilarious a.充满欢乐的；引起大笑的
hinder v.阻碍，妨碍
hinge n.铰链；关键
hoarse a.嘶哑的，粗哑的
hoary a.(头发)灰白的；古老的
hoax n./v.骗局，欺骗
hobble v.蹒跚；跛行
hoe n.锄头
hoist v.吊高，升起；n.起重机
homage n.（向伟人表示的）崇敬；效忠，敬意
homely n.朴素的，不漂亮的
hone n.磨刀石；v.磨刀
hoodoo n.厄运；召来不幸的人
hoodwink v.蒙混，欺骗
hoop n.(桶之)箍，铁环
horizontal a.水平的
horn n.（动物的）角，角质；喇叭
horrendous a.可怕的，令人恐惧的
hortative a.激励的；劝告的
horticulture n.园艺学(gardening)
howler n.嚎叫的人或动物；滑稽可爱的错误
hubris n.傲慢，目中无人
hue n.色彩，色泽
huffish a.不高兴的，发怒的；傲慢的
huffy a.愤怒的，恼怒的
hull n.外壳；荚；船身；v.剥去外壳
humid a.湿润的
humor v.纵容，迁就
hunker v.蹲下；顽固地坚持
hurdle n.跨栏；障碍；v.克服(障碍)
hurtle v.呼啸而过，快速通过；猛投，用力投掷
husband v.妥善而又节约地管理；做…的丈夫
husbandry n.（广义上的）农业
hush v./n.肃静，安静
hymn n.赞美诗
hype n.夸大的广告宣传
hyperactivity n.活动过强，极度亢奋
hypocrite n.伪善者，伪君子
icicle n.冰柱，冰垂
icon n.圣像，偶像
iconoclast n.攻击传统观念或风俗的人
idiom n.方言，土语，术语，语言的习惯用法；特色，风格
idle a.(指人)无所事事的；无效的；v.懒散，无所事事
idolatrize v.奉为偶像，盲目崇拜
idolize v.将…当做偶像崇拜；极度仰慕，崇拜
ignite v.发光；点燃，燃烧
ignorant a.无知的，愚昧的
ilk n.类型，种类
illiberal a.偏执的，思想狭隘的
illuminate v.阐明，解释；照亮
illuminati n.先觉者，智者
illusive a.迷惑人的，迷幻的
illustrate v.为…作插图或图表；说明，阐明
illustrious a.著名的，显赫的
imbecile n.低能者，弱智者，极愚蠢的
imbibe v.饮；吸入
imbroglio n.纠纷，误解；(政治或感情上的)错综复杂的局面
immanent a.内在的，天生的；(上帝)普遍存在的，无处不在的
immemorial a.太古的，极古的，无法追忆的
immensity n.巨大之物；无限
immerse v.浸入；沉浸于
immolate v.牺牲，焚祭
immortal a.不朽的，流芳百世的
immune a.免疫的；免除的
immunity n.免疫；豁免
immunize v.使免疫
immure v.监禁
impact n.冲击，影响
impale v.刺入，刺中
impalpable a.无法触及的；不易理解的
impasse n.僵局；死路
impeach v.怀疑，提出异议；弹劾
impel v.推进；驱使
impend v.威胁；即将发生
impenitent a.不悔悟的
imperil v.使陷入危险，危机
impermeability n.不能渗透（液体）
impermeable a.不容液体渗透的，液体透不过的
impetus n.(物)推动力；推动，刺激
impinge v.侵犯；撞击
implant v.注入，植入；灌输（思想）
implicate v.牵连(于罪行中)；暗示
implicit a.含蓄的，不言而喻的
implode v.内爆，向心聚爆；剧减
implore v.哀求，恳求
importune v.（尤指令人厌烦的地）强求，不断请求
impose v.征税；强加
impoverish v.使成赤贫
imprecation n.诅咒
impregnable a.固若金汤的，征服不了的
imprint v.盖印，刻印
impuissance n.无力，虚弱
imputation n.归咎，归罪
inadvertence n.漫不经心
inadvertently adv.不小心地，非故意地，无意地
inanimate a.无生命的
inappreciable a.微不足道的
incarcerate v.使下狱，监禁
inch v.慢慢前进，慢慢移动
inchoate a.刚开始的，未发展的，不成熟的
incinerate v.焚化，焚毁
incision n.切口；切割
incite v.激发，刺激
inclement a.(天气)严酷的；严厉的
incogitant a.无思想的，考虑不周的
incongruent a.不协调的，不和谐的，不合适的
inconstancy n.(指人)反复无常
incorrigibility n.无可救药，难以修正
increment n.增值，增加
incriminate v.连累，牵连，使显得有罪
incubation n.孵卵期；潜伏期
incubus n.恶梦；梦魇般的精神压力，负担
inculcate v.灌输，谆谆教诲
inculpate v.连累；控告
incur v.招致，引起
indelible a.擦拭不掉的，不可磨灭的
indemnify v.赔偿，偿付
indifferent a.不感兴趣的，漠不关心的
indignant a.愤慨的，愤愤不平的
indignity n.侮辱，轻蔑；侮辱性的言行
induce v.诱导；引起
induct v.使就职；使入伍
induction n.就职，入伍仪式；归纳
industrious a.勤劳的，勤勉的
inebriate v.使…醉 n.酒鬼，酒徒
ineffable a.不可言喻的，难用语言表达的；避讳的
inelasticity n.无弹性，无伸缩性
ineluctable a.不可避免的，难免的
inexpedient a.不适当的，不明智的
inexpiable a.不能补偿的
#List
infantry n.步兵
infatuate v.使迷恋，使糊涂
infelicitous a.不幸的；不妥当的
infelicity n.不幸；不恰当的事物
infernal a.地狱的；可恶的
inflame v.使燃烧；激怒(某人)
inflammation n.发炎；炎症
influx n.(人或物的)注入，涌入
informed a.有学识的，见多识广的；消息灵通的
informer n.告发者，告密者
infraction n.违反，违犯
infringe v.违反，侵害(法规，协议)
ingestion n.摄取，吸收(食物)；容纳
ingratiate v.逢迎，讨好，谄媚
ingress n.进入
inhale v.吸气，吸入
inherit v.继承
iniquity n.邪恶，不公正，不道德
inkling n.暗示，迹象；略知，模糊概念
inmate n.同居者
innuendo n.含沙射影，暗讽
inoculate v.预防注射，打预防针
inroad n.突袭；（以牺牲他人为代价而取得的）进展
insane a.疯狂地
insanity n.疯狂；愚昧
inscribe v.在某物上写，题(词，字)
inscrutable a.高深莫测的，不可理解的，神秘的
insignia n.徽章，袖章
insolence n.傲慢，无礼
insolvency n.无力偿还；破产
insouciance n.漠不关心，漫不经心
insouciant adj.漫不经心的
inspiration n.启示，灵感
inspired a.有创见的，有灵感的
inspissate v.浓缩
install v.安装，装置；使就职
instate v.任命，安置
instill v.滴注；逐渐灌输
insufficient a.不足的
insuperable a.难以克服的
insurrection n.造反，叛乱
intangibility n.无形，不可接触
integral a.构成整体所必需的；完整的
integrity n.正直，诚实；完整
intensify v.加剧
inter v.埋葬
intercede v.说好话，代为求情
intercept v.中途拦截，截取
interdisciplinary a.跨学科的
interference n.干涉，妨碍
interjection n.插入语；感叹词
interlace v.编织，交错
interlard v.使混杂，混入
interlock v.连锁，连串
interloper n.闯入者
interlude n.(活动间的)暂时休息
intermingle v.混合，掺杂
intermission n.暂停，间歇
intermittent a.断断续续的，间歇的
interpose v.置于…之间；使介入，插手干涉
interrogate v.审问，审讯
interrogative a.疑问的；质疑的
interrupt v.暂时中止；打断，打扰
intersperse v.散布；点缀
interstice n.裂缝，空隙
intertwine v.纠缠，缠，绕
intervene v.干涉，介入
interweave v.交织
intestate a.未留遗嘱的
intoxicate v.(使)沉醉，(使)欣喜若狂；(使)喝醉
intrude v.把(思想等)强加于；闯入
inundate v.淹没；泛滥
invective n.猛烈抨击，痛骂
inveigh v.痛骂，抨击
inveigle v.诱骗，诱使
inventory n.详细目录；存货清单
inveterate a.积习已深的，根深蒂固的
invidious a.惹人反感的，导致伤害和仇恨的，招人嫉妒的
invoice n.发票，发货清单 v.给开发票
invoke v.祈求，恳求；(法律的)实施生效；援引，援用
iota n.极小量，极少
ire n.愤怒；v.激怒
irk v.使苦恼的，厌烦
irksome a.令人苦恼的，讨厌的
irremediable a.无法治愈的，无法纠正的，无法挽回的
irritation n.愤怒，急躁，刺激
itinerary n.行程表；旅行路线
jab v.猛刺
jabber v.快而不清楚地说
jagged a.锯齿状的，参差不齐的
jamb n.门窗的侧柱
jamboree n.喧闹的集会
jape v.开玩笑，戏弄
jar v.震动，摇晃；冲突，抵触；(猛撞)震动；发刺耳声 n.广口坛子
jargon n.胡言乱语；行话
jarring a.声音刺耳的
jaundice n.(因嫉妒、猜忌等导致的)偏见；(病)黄疸
jaundiced a.有偏见的
jaunt n./v.短程旅游
jaunty a.愉快的，满足的
jeer v.嘲笑
jejune a.（文）空洞的；不成熟的
jeopardy n.危险
jerk v./n. 猛拉
jesting a.滑稽的；爱开玩笑的
jettison v.(船)向外抛弃东西；n.抛弃的货物
jibe v.与…一致，符合；嘲笑
jingoism n.沙文主义；侵略主义
jockey n.骑师；v.用计谋获取
jocund a.快乐的，高兴的
jog v.慢而平静地前进，慢跑
jolly a.欢乐的，快乐的
jolt v.颠簸着移动；n.震动，摇晃
josh v.(无恶意地）戏弄，戏耍
jostle v.推挤；挤开通路
jot v.匆匆记下，摘要记录
jounce v.颠簸地移动
jovial a.愉快的
jubilation n.欢快，欢庆
judicial a.法庭的，法官的
judiciousness n.明智
jug v.用陶罐等炖；关押
jumpy a.紧张不安的，心惊肉跳的
junction n.交叉路口；连接
jurisdiction n.司法权，审判权，裁判权
justification n.正当理由，好的（正义的）原因；辨护
juxtapose v.并排，并置
kaleidoscopic adj.千变万化的
kangaroo n.袋鼠
ken n.视野范围；知识范围
kennel n.狗舍，狗窝
kernel n.果仁；核心
kidnap v.诱拐，绑架，勒赎
killjoy n.令人扫兴的人
kin n.亲属
kindle v.着火，点燃
kipper v.腌制，熏制
knack n.特殊能力；窍门
knead v.揉制，捏制（面团、湿黏土等）
knit v.编织；密接，结合
knotty a.(木材)有节疤的；困难的
kudos n.荣誉，名声
labile a.（化）不稳定的
lace n.鞋带，系带；网眼花边，透孔织品
lacerate v.撕裂；深深伤害（感情）
lachrymose a.好流泪的；引人落泪的
lackluster a.无光泽的；呆滞的
lactic a.乳汁的
lair n.野兽的巢穴；躲藏处
lambaste v.痛打；痛骂
lamentable a.令人惋惜的，悔恨的
lampoon n.讽刺文章；v.讽刺
lancet n.手术刀，柳叶刀
landslide n.山崩；压倒性胜利
languid a.没精打采的，倦怠的
languish v.变得衰弱；失去活力
languor n.无精打采，虚弱无力
lank a.（人）瘦长的；（毛发）平直而软的
#List
lap v.舔着喝水；(水)轻拍，发出轻拍声；(用磨具)抛光、磨光
lapse n.失误，小错；(时间等)流逝
lard v.使丰富，使充满
largess n.赠送，赏赐；赠品；贺礼
lark n./v.玩乐，嬉耍
lassitude n.疲倦；没精打采
lasso n.套索(捕捉牛、马用)
lasting a.持久的，永久的
latch n.门闩 v.用门闩栓牢
latent a.潜伏的
lateral a.侧面的；从侧面的；向侧面的
lathe n.车床
lattice n.(做篱笆或爬藤架等的)格子架
laud v.称赞
lava n.熔岩
lavender n.薰衣草 a.淡紫色的
laxative a.(药)通便的；放松的；n.轻泻药
leach v.过滤
leakage n.渗漏，漏出
lean v.倾斜；斜靠 a.瘦的
lease n.租约；租期；v.出租
leer v.（挑逗性地）斜眼看，送秋波
leery a.机警的，怀疑的
leeward a.背风的
legislature n.立法机关，立法团体
leisureliness n.悠然，从容
leniency n.温和，宽容
lesion n.损害，损伤
lethargy n.昏睡；倦怠；呆滞懒散
levee n.防洪堤；堤岸
levelheaded a.头脑冷静的，稳健的
levy v./n.征税；征兵
lexical a.词汇的；词典的
lexicographer n.词典编纂人
lexicon n.词典
liability n.责任；债务
liaison n.密切的联系；暧昧关系
libel v./n.(文字)诽谤，中伤
liberality n.慷慨；心胸开阔
liberty n.（言行上）过度随意，冒失；自主，自由
licentious a.纵欲的，淫乱的；放肆的，漠视行为规范的
licit a.合法的
ligneous a.木质的，木头的
liken v.把…比作…
limb n.肢(手或脚)，翼
limbo n.不稳定的状态，中间状态
limn v.描写；画
limnetic a.淡水的，湖泊的
limousine n.大型轿车，大客车
limp v.跛行，一拐一拐地走；a.软弱的，松软的
lineal a.直系的，嫡系的
linger v.逗留
lingual a.舌的；语言的
linguistics n.语言学
lionize v.崇拜，看重
liquefy v.(使)液化；(使)溶解
liquidate v.清算(债务)；清偿(债务)
lissome a.姿态优雅的，柔软的
list v./n.倾斜
lithe a.（人身体）柔软的，易弯曲的；敏捷的，轻快的
litigant n.诉讼当事人
loaf n.一条(面包)；v.虚度光阴
locus n.地点，所在地
locution n.语言风格；惯用语
log n./v.日志，记录；n.一段大木头；圆木
logistics n.后勤学；后勤
loiter v.闲逛，游荡 ；慢慢前行；消磨时光
long-winded a.(演讲或写作)冗长的
lope n.轻快的步伐；v.使大步慢跑；跳跃
lopsided a.倾向一方的，不平衡的
lore n.知识；特定的知识或传说
lot n.签；命运；v.抽签，划分
lottery n.彩票，抽彩给奖法
lout n.蠢人，笨蛋
loutish a.粗鲁的
lowbred a.粗野的，粗俗的
lubricant n.润滑剂
lucre n.<贬>钱，利益
lucubrate v.刻苦攻读，埋头苦干，专心著作
lug v./n.拖，拉
lukewarm a.微温的，不冷不热的；不热心的
lumber v.蹒跚而行，笨拙地走；n.杂物，旧家具；木材
lumen n.流明(光通量单位)
luminary n.杰出人物，名人
lump n.块；肿块；v.形成块状
lunatic n.疯子；a.极蠢的
lunge n.冲，扑
lurch n.突然向前或旁边倒；v.蹒跚而行
lurk v.潜伏，埋伏
luscious a.美味的；肉感的
lust n.（贬）强烈的欲望
luster n.光辉v.使有光泽；发光
lustrous a.有光泽的
lusty a.充满活力的，精力充沛的
luxurious a.奢侈的，豪华的
lymphatic a.无力的；迟缓的；淋巴的
macerate v.浸软；消瘦
machination n.阴谋
madrigal n.抒情短诗，情歌，合唱曲
magenta n./a.紫红色(的)；n.紫红色
magniloquent a.夸张的
magnitude n.重要性；星球的光亮度
majestic a.雄伟的，庄严的，威严的
malaise n.不适，不舒服
malediction n.诅咒
malefactor n.罪犯，作恶者
maleficent a.有害的，作恶的，犯罪的
malfeasance n.不法行为，渎职
malfunction v.发生故障；n.故障，障碍
malice n.恶意，怨恨
mandate n.命令，指令
mangle v.严重毁损；撕成碎片，压碎
mania n.(医)躁狂，狂；狂热，癖好
manifesto n.宣言，声明
manipulate v.（熟练的）操作，处理
mansion n.公馆；大厦
manure n.粪肥；v.给…施肥
mar v.损坏，毁坏；损害…的健康
maraud v.抢劫，掠夺
marine a.海的；海中的
mariner n.水手，海员
marrow n.骨髓；精华，精髓
marshal v.有序地整理、安排、设置
marsupial n./a.有袋动物(的)
martial a.战争的，军事的
martyr n.烈士，殉道者
marvel v.对…感到惊异；n.奇迹
mash v.捣成糊状
masquerade n.化装舞会；v.伪装
massacre n.大屠杀
massive a.巨大的，厚重的
mast n.船桅，旗杆
masticate v.咀嚼；把…磨成浆
mat n.垫子，席子v.（使）缠结；铺席于···上
materialize v.赋予形体，使具体化；实现
matriculate v.录取
matte a.无光泽的
mattress n.床垫
mature a.成熟的；深思熟虑的
maul v.撕裂皮肉，伤害
maunder v.胡扯；游荡
mawkish a.自作多情的，过度伤感的；淡而无味的；令人作呕的
maze n.迷宫
meager a.贫乏的；削瘦的
mean a.(行为)卑贱的；(金钱方面)吝啬的
meander v.(河流)蜿蜒而流；漫步
measly a.患麻疹的；（大小，数量，价值）小得可怜的，微不足道的
measured a.精确的；慎重的
mechanism n.结构，机制
medal n.奖牌，勋章
meddle v.干涉，干预，管闲事
medieval a.中世纪的，中古的
meditation n.沉思，冥想
meek a.温顺的，顺服的
meld v.(使)混合，(使)合并
mellifluous a.(音乐等)柔美流畅的，嗓音甜美动听的
melon n.甜瓜
membrane n.薄膜；细胞膜
